language=zh
duration=3010.24
[114.90-117.62] 二位爱卿有何事要找着呀
[989.46-991.62] 丞相力保朕坐上皇位
[991.62-992.78] 朕知道
[992.78-994.26] 在这世上
[994.26-995.50] 唯有丞相永远才会
[995.50-997.26] 跟朕一条行
[997.26-1012.26] 朕在这世上只信丞相
[1012.26-1016.83] 陛下
[1016.87-1019.15] 丞相
[1019.15-1022.91] 这 这实在是新光异论
[1022.91-1025.43] 事关前东宫的流言
[1025.43-1028.07] 这十多年来也出现过几回
[1028.07-1030.59] 本相自会处理
[1030.59-1032.27] 然而陛下
[1032.27-1034.83] 你可是先帝的善位
[1034.83-1038.15] 正大光明的继承大同
[1038.15-1041.59] 有何好担忧的呢
[1041.59-1043.95] 陛下千万不要忘了
[1043.95-1045.71] 此次西北
[1045.71-1049.03] 有一位功勋卓柱柱的心将
[1049.03-1051.19] 救百姓于水深火热之中
[1051.19-1052.51] 身得民心
[1052.51-1053.99] 陛下
[1053.99-1056.47] 要趁此机会好好拉拢
[1056.47-1059.51] 如此一来才能安民心
[1059.51-1062.51] 以彰显陛下之龙威
[1062.51-1065.59] 丞相是说那杀猪女凡长岳
[1065.59-1072.60] 此女的确有些用力
[1072.60-1075.88] 也确实诛杀长姓王于阵前
[1075.88-1077.40] 可是她出身卑贱
[1077.40-1079.52] 在朝中无根无击
[1079.56-1081.76] 如何能为朕所用啊
[1081.76-1083.36] 你可别忘了
[1083.36-1087.12] 此女可是手握祭州半树兵权
[1087.12-1090.20] 也是李家祭于拉拢之
[1090.20-1092.28] 若是陛下能够趁她
[1092.28-1093.80] 屡立战功之际
[1093.80-1097.76] 将她召回京进行封赏的话
[1097.76-1099.36] 就能够彰显
[1099.36-1104.58] 陛下之龙恩好当
[1104.58-1107.10] 好好好
[1107.10-1109.50] 那朕就依丞相所奏
[1109.50-1110.74] 速传朕旨意
[1110.74-1113.26] 命凡长岳及那些评判有功之将
[1113.26-1114.70] 即刻上京守风
[1114.70-1117.34] 我大宴出了第一位维吾女将
[1117.34-1118.30] 朕定亲自为他们
[1118.30-1119.66] 举行册封大典
[1119.66-1128.53] 陛下真是圣明
[1128.53-1130.17] 齐家人瞒口谎言
[1130.17-1132.57] 一样地下足德想
[1132.57-1134.65] 相爷可要小心
[1134.65-1136.25] 连皇帝都知道了
[1136.25-1139.29] 乾东宫的事情
[1139.29-1146.00] 他这是打算不想瞒了
[1146.00-1149.23] 这谢九恒
[1149.23-1151.91] 是想做第二个威严吗
[1151.91-1166.17] 陛下赤约
[1166.17-1169.33] 逆番长信 购逆西锤
[1169.33-1172.73] 女将番长玉 周永克敌
[1172.73-1174.81] 朕斩逆手
[1174.81-1176.57] 朕家齐勋
[1176.57-1179.73] 色策锋围 三花将军
[1179.73-1181.69] 至正四品
[1181.69-1183.61] 似紫金鱼带
[1183.61-1186.53] 自卓尔入京进见
[1186.53-1188.65] 亦却受封
[1188.65-1194.28] 这是京城啊
[1194.28-1195.44] 你看看这龙
[1195.44-1197.44] 这龙 这些人
[1197.44-1198.64] 一般茶家伙
[1198.64-1200.24] 我是为了做梦
[1200.24-1202.52] 不是做梦
[1202.52-1203.56] 你们都注意点
[1203.56-1204.88] 可别让大家看出来
[1204.88-1206.60] 才是乡下来的
[1206.60-1208.96] 乡下来的咋了
[1208.96-1210.36] 老黄的将军指揮
[1210.36-1211.60] 就是用杀猪糕
[1211.60-1213.44] 从乡下砍出来的
[1213.44-1218.86] 谁敢瞧让他
[1218.86-1220.14] 看咱的女将军
[1220.14-1221.94] 多威风啊
[1221.94-1223.62] 要是咱将军是个儿郎
[1223.62-1224.70] 我想嫁
[1224.70-1226.54] 没准凡将军有兄弟呢
[1226.54-1227.38] 嫁不了他
[1227.38-1229.06] 与他能做温草也好啊
[1229.06-1230.70] 不能想他骑在马背上
[1230.70-1232.30] 比小伙子还近呢
[1232.30-1233.34] 听说圣上
[1233.34-1236.14] 还要亲自举行册封仪式呢
[1236.14-1237.14] 是吗
[1237.14-1237.94] 是
[1237.94-1307.34] 老黄将军
[1307.34-1310.56] 兄安 李怀安
[1310.56-1312.98] 军凡长
[1334.83-1337.79] 吾皇万岁万岁万万岁
[1338.99-1340.63] 爱卿平身
[1340.63-1343.91] 谢陛下
[1343.91-1345.31] 诸位爱卿
[1345.31-1347.35] 且快瞧瞧
[1347.35-1348.15] 这
[1348.15-1349.31] 便是我大印的
[1349.31-1359.43] 几粮之臣们了
[1359.43-1361.59] 臣亏不敢当
[1361.59-1362.75] 能为陛下尽忠
[1362.75-1364.75] 乃是臣子本分
[1364.75-1365.43] 何况在此次
[1365.43-1366.95] 评判之战中
[1366.95-1368.19] 居宫申委的
[1368.19-1370.63] 是贺将军与武安侯
[1370.63-1372.47] 贺爱卿和武安侯
[1372.47-1373.59] 的确是我大印
[1373.59-1377.27] 朝之动粮
[1377.27-1379.87] 贺爱卿战死独冲
[1379.87-1381.79] 朕心慎痛
[1381.79-1384.39] 多日时不下印
[1384.39-1385.79] 还好我大印
[1385.79-1387.23] 有武安侯
[1387.23-1388.19] 和你们这样的
[1388.19-1389.51] 忠义之事
[1389.51-1391.47] 朕和诸爱卿
[1391.51-1393.59] 方刻高诊无忧
[1394.79-1396.15] 臣定不辜负
[1396.15-1397.11] 陛下希望
[1398.11-1399.03] 朕听闻
[1399.03-1400.63] 在我大印的民间
[1400.63-1402.47] 出了一位女将
[1402.47-1406.74] 上前让朕瞧瞧
[1406.74-1408.62] 末将凡长玉
[1408.62-1409.66] 参见陛下
[1410.58-1419.98] 再上前些
[1419.98-1421.38] 末将凡长玉
[1421.38-1424.98] 参见陛下
[1424.98-1429.66] 抬起头来
[1429.66-1435.26] 好一朵金鸽母的
[1435.26-1436.78] 爱卿可有婚派
[1438.34-1439.50] 回陛下
[1439.50-1443.24] 末将已有夫婿
[1443.24-1447.01] 那你夫婿现在何处啊
[1447.01-1448.61] 严出征兵时
[1448.61-1450.05] 我夫婿去了前县
[1451.29-1453.09] 末将寻夫心切
[1453.09-1455.29] 路上意外从了军
[1455.29-1457.85] 可炉城之战太过惨烈
[1457.85-1461.09] 末将夫婿至今生死不明
[1461.09-1462.61] 生死不明啊
[1462.61-1463.61] 那爱卿你不如
[1476.26-1478.58] 朕在位十七崽
[1478.58-1481.30] 头一回见金国女将
[1481.30-1482.58] 方才一时激动
[1484.66-1486.62] 凡爱卿在评乱之中
[1486.62-1487.82] 先杀十虎
[1487.82-1489.38] 后斩长姓王
[1489.38-1491.58] 真可谓是功不可没
[1491.58-1493.46] 朕特封凡爱卿
[1493.46-1494.78] 为三花将军
[1494.78-1496.74] 加封四品告命夫人
[1496.74-1506.42] 末将凡长玉
[1506.42-1515.33] 多谢陛下罗恩
[1515.33-1516.61] 陛下
[1516.61-1518.81] 本朝自开国以来
[1518.81-1520.69] 从未有一位女将
[1520.69-1523.41] 做过无凭以上关节
[1523.41-1526.33] 封三花将军已是先例
[1526.33-1527.09] 更恒论
[1527.09-1528.33] 看来太富一当
[1528.33-1529.97] 还是舍不得那一般兵权
[1529.97-1530.65] 是
[1530.65-1539.02] 请陛下三思
[1539.02-1540.46] 并陛下
[1540.46-1542.46] 凡将军不同于一般女子
[1542.46-1543.38] 取长姓王手机
[1543.38-1545.06] 一举平定战士
[1545.06-1546.06] 她更是所功
[1546.06-1548.50] 李司马
[1548.50-1550.46] 在陛下面前
[1550.46-1552.10] 莫要誓言
[1553.26-1554.82] 老夫听闻
[1554.82-1557.50] 凡将军在从军之前
[1557.50-1558.22] 乃是一名
[1558.22-1561.26] 编吹小镇的杀猪娘
[1561.26-1563.18] 但不知又如何
[1563.18-1567.26] 杀得了这勇贯三军的长姓王
[1567.26-1568.14] 该不是
[1568.14-1571.50] 谢李太傅夸奖
[1571.50-1574.42] 莫将一介乡也存负
[1574.42-1575.90] 别的不懂
[1575.90-1577.26] 只知道
[1577.26-1579.30] 猪肉要各得准
[1579.30-1581.62] 敌人得杀得狠
[1582.78-1583.94] 凡将军
[1583.94-1585.18] 此处可不是你
[1585.18-1587.18] 那肮脏的杀猪圈
[1587.18-1589.70] 如今你既做得朝廷命官
[1589.70-1590.94] 就得时刻注意
[1590.94-1592.46] 自己的言行
[1592.46-1594.70] 尤其是在这朝堂之上
[1594.70-1598.02] 尤其是在陛下和太傅面前
[1598.02-1599.94] 大人说得是
[1601.10-1602.74] 大人说到猪圈
[1602.74-1604.02] 莫将家里的猪圈
[1604.02-1605.42] 打扫得干干净净
[1605.42-1606.90] 猪也养得肥壮
[1606.90-1608.50] 可总有些坏猪
[1608.50-1611.58] 挨到处撒尿拉屎
[1611.58-1614.54] 这再干净的地方也脏了
[1614.54-1618.37] 这
[1618.37-1620.09] 你说谁是猪的
[1620.09-1621.17] 大人默契
[1621.17-1622.69] 我可没说你是猪
[1623.33-1625.77] 凡将军口舌之力
[1625.77-1627.85] 可我们都当战功
[1627.85-1629.09] 身为武将
[1629.09-1632.13] 应当以保驾为国为己任
[1632.13-1635.73] 绝非再次成口舌之快
[1635.73-1637.81] 李太傅说得是
[1637.81-1639.01] 莫将当然知道
[1639.01-1641.29] 保驾为国的重要了
[1641.29-1642.93] 但边垂百姓
[1642.93-1644.93] 受苦受难之事
[1644.93-1646.69] 也许是一件
[1646.69-1648.13] 严谨的事
[1648.13-1649.69] 也许是一件
[1649.69-1651.17] 严谨的事
[1651.17-1653.41] 受苦受难之事
[1653.41-1654.49] 李太傅又在何处
[1654.49-1655.65] 受风凉花
[1656.65-1659.34] 你
[1659.34-1660.74] 好了好了
[1662.18-1663.42] 凡将军这性格
[1663.42-1664.90] 果然是执手
[1664.90-1667.26] 完全不同于寻常女子
[1668.62-1670.30] 怪不得能够立下
[1670.30-1672.02] 这赫赫战功
[1672.02-1673.62] 正所谓是
[1673.62-1675.94] 英雄不问出处啊
[1675.94-1678.78] 我等朝廷内臣
[1678.78-1681.90] 李英对其宽容才是
[1683.42-1685.74] 至于这兵权的事情吗
[1685.74-1690.03] 日后再议罢了
[1690.03-1692.99] 多谢卫相
[1692.99-1695.43] 莫将能站在此处
[1695.43-1696.55] 多亏了卫相的
[1696.55-1704.01] 宽宏大量
[1704.01-1705.01] 不过
[1705.01-1707.69] 莫将不以为这是口舌之争
[1707.69-1709.45] 朝堂和杀猪一样
[1709.45-1710.97] 都得有个规矩
[1710.97-1712.97] 杀猪讲究一刀必命
[1712.97-1714.01] 朝堂上说话
[1714.01-1715.45] 也得指重要害啊
[1715.45-1716.69] 这么多弯弯绕绕
[1716.69-1718.37] 怎么能解决问题
[1718.37-1720.05] 就像卢城之战
[1720.05-1722.53] 卧室兵们都萎缩不前
[1722.53-1724.69] 这卢城谁守得下来
[1724.69-1727.97] 凡将军这话说的是句句在理
[1727.97-1730.93] 只不过是言辞无状
[1730.93-1732.29] 日后
[1732.29-1735.25] 可得要好好学习礼仪才是
[1735.25-1736.93] 卫相说得是
[1736.93-1738.81] 莫将这心直口快的毛病
[1738.81-1740.85] 是得改一改了
[1740.85-1741.97] 对了
[1741.97-1743.33] 吾安侯托莫将
[1743.33-1744.45] 替他去父母陵园
[1744.45-1750.04] 上乡报平安
[1750.04-1751.56] 卫相您要不要
[1751.56-1753.16] 也一起拜拜您家妹子
[1753.20-1764.53] 何谢大将军
[1771.14-1774.34] 只会爱卿今日要无事
[1774.34-1775.86] 就可退朝了
[1775.86-1777.58] 有本揍来
[1777.58-1779.78] 无本退朝
[1779.78-1782.93] 恭送陛下
[1806.29-1812.26] 宁安察远了
[1812.26-1816.07] 凡将军
[1816.07-1816.91] 你不该在朝堂上
[1816.91-1826.91] 如此树敌的
[1826.91-1830.15] 你还知道我是你祖父啊
[1830.15-1838.22] 回去
[1838.22-1842.99] 凡将军留步
[1842.99-1844.43] 我要不是您孙子
[1844.43-1845.15] 怎么
[1845.15-1846.31] 连我也要宣啊
[1847.31-1850.31] 凡将军今日殿上的风采
[1850.31-1853.31] 真是令老夫印象深阔呀
[1853.31-1855.31] 如今容得圣上家奖
[1855.31-1858.31] 大家遵你一生举重英雄
[1858.31-1860.31] 但是作为女子
[1860.31-1863.31] 早晚是要嫁人生子
[1863.31-1865.31] 就算是功劳再高
[1865.31-1867.31] 至此也求顶天了
[1868.31-1870.31] 麻雀终究飞不上之头
[1870.31-1873.31] 她也变不成凤凰
[1874.31-1875.31] 女子嫁人生子
[1875.31-1877.31] 一样可以再立功劳
[1878.31-1879.31] 再说了
[1879.31-1881.31] 关你什么事
[1881.31-1883.31] 凡将军听说过
[1883.31-1886.31] 食食物为俊杰这句话吧
[1886.31-1888.69] 行
[1889.69-1892.69] 莫将这就食食物的告辞了
[1892.69-1912.02] 太夫
[1912.02-1913.02] 你这叫不错
[1913.02-1921.97] 未旺行
[1921.97-1922.97] 早晚
[1922.97-1924.97] 再一个大干头
[1924.97-1939.31] 老爷
[1939.31-1940.31] 太夫
[1940.31-1941.31] 老爷
[1941.31-1942.31] 你没事吧
[1942.31-1949.40] 凡成玉啊
[1951.40-1954.40] 我也想借到太傅管教
[1954.40-1956.40] 长公主的
[1957.40-1958.40] 黄姐
[1958.40-1959.40] 黄姐
[1960.40-1962.40] 什么事这么开心啊
[1963.40-1965.40] 你可知今日凡将军上朝
[1965.40-1967.40] 他可真是个了不得的人物
[1967.40-1968.40] 我跟你讲啊 黄姐
[1968.40-1969.40] 自振登记以来
[1969.40-1970.40] 从没有像今天
[1970.40-1971.40] 这么开怀的效果
[1971.40-1972.40] 你跟朕讲
[1972.40-1973.40] 他是个什么样的人
[1974.40-1975.40] 常玉
[1976.40-1978.40] 常玉他性情耿耿
[1978.40-1979.40] 含厚可爱
[1979.40-1981.40] 他武力着群
[1981.40-1983.40] 他对有人志成
[1983.40-1985.40] 对袍则舍生忘死
[1985.40-1987.40] 对武安侯更是
[1989.40-1991.40] 对武安侯更是如何
[1991.40-1992.40] 我已经切勿泄露
[1992.40-1994.40] 我与常玉之事
[1994.40-1996.40] 恐有人这次先起步了
[1996.40-1998.40] 对武安侯景阳有加
[1998.40-2002.35] 士兵间作战的战友
[2004.35-2005.35] 那就说这个凡常玉
[2005.35-2008.35] 不但能打还能影响卸争
[2009.35-2011.35] 朕征仇朝中无人可用
[2011.35-2012.35] 此眼正得这些
[2013.35-2019.64] 齐民虽贵为皇尊
[2019.64-2021.64] 但并非良主
[2021.64-2023.64] 他性格乖立
[2023.64-2026.53] 我理事
[2026.53-2028.53] 若助他冲动皇权
[2028.53-2030.53] 他其得势之事
[2030.53-2034.22] 也是天下百姓的苦难之事
[2034.22-2036.22] 若去那齐生
[2036.22-2038.22] 只是卫言的傀儡
[2038.22-2040.22] 得不配为才不堪认
[2040.22-2042.22] 那卫言的兵姓
[2042.22-2044.22] 祖父不用告诉你
[2044.22-2046.22] 你也当了然欲心吧
[2046.22-2048.22] 过往的战事中
[2048.22-2050.22] 他全人不顾百姓的死活
[2050.22-2052.22] 强行征良
[2052.22-2054.22] 百姓而时不过赴
[2054.22-2055.22] 琉璃世所
[2055.22-2057.22] 恶漂遍野之残下
[2057.22-2059.22] 基因他所为
[2059.22-2061.22] 如此行径
[2061.22-2063.22] 才真的叫残暴不仁
[2063.22-2065.22] 才真的是让老百姓
[2065.22-2067.22] 遭受苦难
[2067.22-2068.22] 这齐民的残暴
[2068.22-2069.22] 远超卫言
[2069.22-2071.22] 孙儿亲言所见
[2071.22-2077.83] 我们李家世态重量
[2077.83-2080.83] 万不能助纣为虐
[2080.83-2082.83] 是人品如此不堪之人
[2082.83-2084.83] 登上皇位
[2084.83-2086.83] 可他是成德太子之后
[2086.83-2088.83] 身负着皇室正土的血脉
[2088.83-2089.83] 这些年
[2089.83-2091.83] 他一路颠佩琉璃
[2091.83-2092.83] 保寿磨难
[2092.83-2094.83] 难免会心心大乱
[2094.83-2096.83] 你当理解
[2096.83-2099.83] 不可忘断
[2099.83-2101.83] 祖父就没想过
[2101.83-2102.83] 你要进宫藏
[2102.83-2103.83] 吐死狗喷吗
[2103.83-2105.83] 孙儿啊
[2106.83-2108.83] 你老是贺敬元
[2108.83-2110.83] 有原则将道义
[2111.83-2113.83] 是答应天子号的功臣
[2114.83-2117.83] 他可是斩死在沙场啊
[2117.83-2120.83] 到头来一切都成功
[2120.83-2122.83] 你便是再将国家道义
[2122.83-2123.83] 又能如何
[2123.83-2127.98] 不该将我送到西北
[2127.98-2131.90] 吾父请您想清楚
[2131.90-2133.90] 当今的皇帝
[2133.90-2135.90] 是明君还是昏君
[2135.90-2137.90] 他对天下
[2137.90-2139.90] 有义否
[2139.90-2161.93] 有人即刻回住宿舖
[2161.93-2163.93] 他若胆敢冲动
